Id,Url,Date,Headline,Body
962af4c6-bb22-4e01-b596-07cfb8c34a02,https://www.euronews.com/2025/04/15/trump-administration-to-freeze-22bn-in-grants-to-harvard-university,15.04.2025 10:38 GMT+1,Trump administration to freeze $2.2bn in grants to Harvard University,"The US federal government has said it is freezing more than $2.2 billion (€1.9bn) in grants and $60 million (€52.9m) in contracts to Harvard University. The announcement came just hours after the institution refused to comply with a list of demands made by the Trump administration, which the university's president said would have undermined its academic freedom. In a letter sent to Harvard on Friday, the federal government called for sweeping reforms in governance and leadership at the university. Among other demands, it also sought to end all diversity, equality and inclusion (DEI) programmes at Harvard. The federal government stated that nearly $9bn (€7.9bn) in grants and contracts were at risk if Harvard failed to comply. On Monday, Harvard President Alan Garber said the institution would not yield to the government. “The university will not sacrifice its independence or abandon its constitutional rights,” Garber wrote in a letter to the Harvard community. “No government — regardless of which party holds power — should dictate what private universities can teach, whom they can admit and employ, or the fields of study and inquiry they may pursue,"" he said. Since starting his second term in January, US President Donald Trump has aggressively targeted some of the country's top universities over what he and his allies see as their fostering of left-wing beliefs. The administration has also argued that universities like Harvard have allowed antisemitism to persist unchecked during campus protests opposing Israel’s war in Gaza last year. As part of its university crackdown, the Trump administration has normalised the withholding of federal funds to pressure major academic institutions into accepting its terms. Columbia, one of the universities targeted by the government, had $400m in funding frozen. It agreed last month to several of the terms demanded by the Trump administration. The former US President Barack Obama urged universities to follow Harvard's example in fighting back against the federal government's attacks. ""Harvard has set an example for other higher-ed institutions – rejecting an unlawful and ham-handed attempt to stifle academic freedom, while taking concrete steps to make sure all students at Harvard can benefit from an environment of intellectual inquiry, rigorous debate and mutual respect,"" he wrote on social media. ""Let’s hope other institutions follow suit,"" he added."
00ef7d0e-31d8-467a-838b-b8eec8046018,https://www.euronews.com/health/2025/04/15/pfizer-stops-working-on-potential-pill-to-treat-obesity-after-study-participant-has-liver-,15.04.2025 10:22 GMT+1,Pfizer stops working on potential pill to treat obesity after study participant has liver injury,"The drugmaker Pfizer is no longer developing a daily anti-obesity pill, setting back efforts to find new ways to treat obesity that don’t involve regular injections. The company said it would stop studying the experimental drug, danuglipron, after a participant in one of its clinical trials experienced a possible drug-induced liver injury that ended once the person stopped taking the treatment. The once-daily version of the pill was in early-stage testing, with researchers trying to figure out the best dose for patients, a spokeswoman said. The company intended to move the drug into late-stage testing, which is generally the last and most expensive phase before a company submits its potential new treatment to government regulators for approval. A company official said in a statement that Pfizer still plans to develop other potential obesity treatments in earlier stages of testing. Obesity treatments have become one of the more promising and lucrative sectors of drug development for pharmaceutical companies. Eli Lilly’s Zepbound, for instance, brought in nearly $5 billion (€4.6 billion) in sales in 2024, its first full year on the market. But leading treatments like Zepbound and Novo Nordisk’s Wegovy are injectable. Drugmakers are eager to develop an easier-to-take pill version for patients who don't want to deal with needles and daily injections. Lilly researchers expect to see data this year from studies of a couple of potential oral treatments it has developed. While the drugs have become top-sellers, many patients have had a hard time getting them either due to recent shortages or patchy insurance coverage. Both Lilly and Novo have recently announced price cuts, but the treatments can still cost hundreds of euros per month, putting them out of reach for some people without coverage. Pfizer said in late 2023 that it would abandon a twice-daily version of danuglipron that had advanced to mid-stage testing after more than half the patients in a clinical trial stopped taking it. A company spokeswoman said the decision meant Pfizer would also stop testing danuglipron in combination with other drugs to treat obesity."
baa01c63-c752-43a2-9619-1635d88760f4,https://www.euronews.com/2025/04/15/hamas-delegation-heads-to-qatar-for-indirect-ceasefire-talks-with-israel,15.04.2025 10:15 GMT+1,Hamas delegation heads to Qatar for indirect ceasefire talks with Israel,"Hamas is sending a delegation to Qatar to continue indirect ceasefire talks with Israel over the war between the two, saying they are reviewing a proposal for the release of ten hostages in exchange for a 45-day truce. The talks in Doha are meant to take place later this week or next, the official said. The proposed ceasefire deal would allow for the entry of food and shelter into Gaza, on which Israel has imposed a blockade for over one month. However, the Hamas official said a major sticking point remained over whether the war would end as part of any new deal. The war started on 7 October 2023, when Hamas militants killed 1,200 people, mostly civilians, during the attack on southern Israel and took 251 people captive. Some have since been freed in ceasefire agreements and other deals. Fifty-nine remain in Gaza, 24 of whom are believed to be still alive. Israel and Hamas agreed to a ceasefire in January that lasted eight weeks before Israel resumed the war last month. The initial ceasefire agreement was meant to bring the sides toward negotiating an end to the war. Israel, however, wants to defeat Hamas first. A senior Hamas official told Al Jazeera that the proposal they received from Egypt includes a clause calling for their disarmament, something they firmly rejected. He reportedly added that disarmament ""is not just a red line. It is a million red lines."" The official further emphasised that Hamas wants a permanent ceasefire and Israeli withdrawal from Gaza to be central to the deal. Officials from Israel and Qatar had no immediate comment. Since the ceasefire fell apart last month, Israel has blocked aid from entering Gaza and forces have also seized swaths of the coastal enclave in a bid to ratchet up pressure on Hamas to agree to a deal more aligned with Israel's terms. On Monday, the United Nations aid office warned that the humanitarian situation in Gaza is now likely to be “the worst” since Israel launched its war on Hamas in response to the militant group's 7 October attack. UN spokesperson Stephane Dujarric told reporters: “No fuel has come in, no food has come in, no medicine has come in.”"
152fc9c1-b121-402a-be7f-fcd2b1c6cf7f,https://www.euronews.com/next/2025/04/15/most-europeans-know-about-quantum-without-knowing-specifically-what-it-is-new-survey-finds,15.04.2025 10:06 GMT+1,"Most Europeans know about quantum without knowing specifically what it is, new survey finds","How much do you know about quantum? If reading from Europe, you might have heard about it but not know the specifics, according to the first European survey of public attitudes towards quantum science and technology. The poll showed that most adults in France and Germany (78 per cent) are aware of quantum technology, and many also know about how it could tackle major societal challenges.  But only one third of respondents had a good level of understanding about what quantum is, and 49 per cent had heard of it but didn’t know what it is. Quantum science is the study of quantum particles, which are the fundamental building blocks of matter and energy that operate according to quantum mechanics rather than classical physics. These particles are key to technologies such as GPS, semiconductors, and MRI scanners. They cannot be seen even with a traditional optical microscope, like electrons, protons, or individual atoms. The study, conducted by YouGov was released to coincide with World Quantum Day on Monday and the United Nations’ International Year of Quantum Science and Technology.  This year also marks the 100 years since the initial development of quantum mechanics.  The survey also found that in total, 47 per cent of those surveyed said they believe quantum will have a positive impact on their country over the next five years. Almost half of respondents said they were optimistic about quantum’s impact on health, energy, cybersecurity, and climate change. Quantum could help in areas such as healthcare by delivering precise medical imaging through quantum sensors, and speed up drug discoveries by simulating molecular interactions.  In combatting the effects of climate change, quantum physics allows scientists to develop next-generation sensors for environmental monitoring.  For security, quantum encryption can protect communications, while quantum computers could solve previously intractable problems that standard computers cannot. In November last year, the EU’s technology commissioner Henna Virkkunen said quantum technology was a field in which Europe should be optimistic and mapped out a quantum strategy, which includes the development of a European quantum chip and a possible Quantum Act. The EU also called for €65 million of funding to accelerate the industrialisation of quantum chips last year, which came as part of a broader €200 million investment across three years within the EU Chips Act. The EU is not the only place that is betting big on quantum.  To mark World Quantum Day, the United Kingdom also announced a £121 million (€140 million) investment in quantum technology for societal issues, which included fighting fraud and money laundering.  However, despite European Nobel laureate Anton Zeilinger laying the groundwork for quantum, Europe lags behind China and the US when it comes to quantum technology as it lacks the necessary infrastructure, deployment, and investment.  “Europe suffers from very limited private investments in quantum technologies vis-à-vis other geo-blocks,” Mario Draghi said in his report on the future of European competitiveness, adding that the EU should develop an internationally competitive ecosystem."
5444af26-5fed-4ba6-852d-50ea3b445ee4,https://www.euronews.com/green/2025/04/15/millions-of-people-are-tuning-in-to-watch-a-24-hour-livestream-of-moose-migrating-in-swede,15.04.2025 09:59 GMT+1,Millions of people are tuning in to watch a 24-hour livestream of moose migrating in Sweden,"Before Swedish slow TV hit “The Great Moose Migration” began airing Tuesday, Ulla Malmgren stocked up on coffee and prepared meals. She doesn't want to miss a moment of the 20-day, 24-hour event. “Sleep? Forget it. I don’t sleep,” she said. Malmgren, 62, isn't alone. The show, called “ Den stora älgvandringen ” in Swedish and sometimes translated as “The Great Elk Trek” in English, began in 2019 with nearly a million people watching. In 2024, the production hit 9 million viewers on SVT Play, the streaming platform for national broadcaster SVT. The livestream kicked off a week ahead of schedule due to warm weather and early moose movement. Malmgren was ready. From now until 4 May, the livestream's remote cameras will capture dozens of moose as they swim across the Ångerman River, some 300 kilometers northwest of Stockholm, in the annual spring migration toward summer grazing pastures. Not much happens for hours at a time, and fans say that's the beauty of it. “I feel relaxed, but at the same time I’m like, ‘Oh, there’s a moose, oh! What if there’s a moose? I can’t go to the toilet!’” said William Garp Liljefors, 20, who has collected more than 150 moose plush toys since 2020. “The Great Moose Migration"" is part of a trend that began in 2009 with Norwegian public broadcaster NRK's minute-by-minute airing of a seven-hour train trip across the southern part of the country. The slow TV style of programming has spread, with productions in the United Kingdom, China and elsewhere. The central Dutch city of Utrecht, for example, installed a “ fish doorbell ” on a river lock that lets livestream viewers alert authorities to fish being held up as they migrate to spawning grounds. Annette Hill, a professor of media and communications at Jönköping University in Sweden, said slow TV has roots in reality television but lacks the staging and therefore feels more authentic for viewers. The productions allow the audience to relax and watch the journey unfold. “It became, in a strange way, gripping because nothing catastrophic is happening, nothing spectacular is happening,"" she said. ""But something very beautiful is happening in that minute-by-minute moment.” As an expert and a fan of “The Great Moose Migration,” Hill said the livestream helps her slow down her day by following the natural rhythms of spring. “This is definitely a moment to have a calm, atmospheric setting in my own home, and I really appreciate it,” she said. The calming effect extends to the crew, according to Johan Erhag, SVT's project manager for “The Great Moose Migration.” “Everyone who works with it goes down in their normal stress,” he said. The moose have walked the route for thousands of years, making it easy for the crew to know where to lay some 20,000 metres of cable and position 26 remote cameras and seven night cameras. A drone is also used to capture shots of the animals. The crew of up to 15 people works out of SVT’s control room in Umeå, producing the show at a distance to avoid interfering with the migration. SVT won't say how much the production costs, but Erhag said it's cheap when accounting for the 506 hours of footage aired last year. Erhag said Swedes have always been fascinated by the roughly 300,000 moose roaming in their woods. The Scandinavian country's largest animal is known as “King of the Forest.” A bull moose can reach 210 centimetres at shoulder height and weigh 450 kilograms. Despite their size, these herbivores are typically shy and solitary. “We actually don’t see it very often. You often see it when you’re out driving maybe once or twice in your life,” Erhag said. “I think that’s one thing why it has been so, so popular. And then you bring in the nature to everyone’s living room."" Hanna Sandberg, 36, first began watching the show in 2019, though she didn't spot any moose. She tuned in the following year, finally saw some and got hooked. “You can watch them and be a part of their natural habitat in a way that you could never be otherwise,” she said. After hours of showing an empty forest, a camera captures footage of a moose approaching the riverbank. Suddenly, slow TV turns urgent. The push alert hits SVT's app - “Första älgarna i bild!” which translates to “First moose on camera!” - as viewers worldwide tune in. The livestream's chat explodes as commenters type encouragement for the animal, now making its way into the water. ”I would actually like to be a little fly on the wall in every household that watches the moose migration. Because I think there is about a million people saying about the same thing: ‘Go on! Yes, you can do it!’"" Malmgren said. Mega-fans like Malmgren, who is in a Facebook group of 76,000-plus viewers, are committed to watching as many hours as possible. “I was late to school because I saw moose and my teacher was like, ‘What, you saw moose in the city?’ And I was like, ‘No, it’s on the TV,’” Garp Liljefors said. Malmgren said friends and family have learned not to bother her when the moose are on the move. “When someone asks me, ‘What are you doing? Oh, never mind, it’s the great migration,’"" she said. ""They know.”"
eb3ec625-49f8-4a83-bcac-aff5164511ed,https://www.euronews.com/culture/2025/04/15/jury-selection-to-begin-in-harvey-weinsteins-retrial,15.04.2025 09:20 GMT+1,Jury selection to begin in Harvey Weinstein's retrial,"The last time a New York City jury sat in judgment of Harvey Weinstein, the ex-movie studio boss was convicted of rape and sentenced to 23 years in prison. Five years later, that landmark #MeToo verdict is gone - wiped away on appeal - and Weinstein is set to go on trial again, beginning today with jury selection. New York’s highest court, the Court of Appeals, overturned Weinstein’s conviction and ordered a new trial, finding that his original one in 2020 was tainted by improper rulings and prejudicial testimony. That ruling gave Weinstein a second chance to fight the charges, and do so in a different atmosphere than his first trial, which was held in the middle of a global reckoning over sexual misconduct. Weinstein, 73, who has pleaded not guilty and denies that he raped or sexually assaulted anyone, is older and more frail, in and out of the hospital regularly for a variety of health problems. He's now far removed from the time when he was among the most powerful men in the movie business. In the New York retrial, Judge Curtis Farber has set aside at least four days for jury selection and expects opening statements and the start of testimony next week. The judge, prosecution and defense will work to whittle a massive pool of potential jurors down to the 18 people - 12 jurors and six alternates - needed for the trial by asking questions and seeking to eliminate anyone they feel can’t judge the case fairly. Weinstein is being retried on two charges from his original trial. He is accused of raping aspiring actress Jessica Mann in a Manhattan hotel room in 2013 and performing a criminal sex act by forcing oral sex on a movie and TV production assistant Mimi Haley in 2006. He is also charged with one count of criminal sex act based on an allegation from a woman who was not a part of the original trial. That woman, who has not been named publicly, alleges Weinstein forced oral sex on her at a Manhattan hotel.  Even if the retrial ends in not guilty verdicts, Weinstein will remain behind bars at Rikers Island, as he was sentenced for a second time in February 2023 after being convicted of raping an actress in a Los Angeles hotel room in 2013. He was also found guilty of forcible oral copulation and sexual penetration by a foreign object in relation to the same woman, named only in court as Jane Doe 1. Weinstein is also appealing the Los Angeles rape conviction. His 16-year prison sentence in that case still stands, though his lawyers said he needs to be resentenced because the since-vacated New York conviction was a factor in how his punishment was calculated. "
a6d8172e-ee98-473d-87f6-8834025b5788,https://www.euronews.com/health/2025/04/15/using-smartphones-may-protect-older-adults-against-cognitive-problems-like-dementia-as-the,15.04.2025 09:14 GMT+1,Using smartphones may protect older adults against cognitive problems like dementia as they age,"Older adults who are digitally savvy may be less likely to face cognitive impairment as they age, a new study suggests. The average 80-year-old has witnessed an extraordinary boom in personal technology throughout their lifetime: born years before colour television, they’re growing old in the TikTok era.  For years, scientists have fretted over whether the ubiquity of tech in daily life harms or helps our minds as we age. The research, published in the journal Nature Human Behaviour, is the latest to tip the scales toward the “help” category. It pooled data from 57 studies spanning more than 411,000 adults aged 50 and older from around the world, all of whom had either a cognitive diagnosis or testing. The researchers called these older adults, aged 68 on average, “digital pioneers” because they didn’t have access to the Internet during childhood. Older people who used smartphones, computers, or the Internet had a lower risk of cognitive impairment than those who stayed away from devices, the analysis shows. Over several years of follow-up, tech-savvy seniors were also less likely to experience cognitive decline. The link between tech use and brain health was as strong – or stronger – than other factors that seem to protect against dementia, including lower blood pressure, exercise, being more highly educated, and having mentally stimulating hobbies. The findings are “completely timely” given countries around the world are ageing, Maximilian Haas, who leads a research group on technology and cognitive function at the University of Geneva, told Euronews Health. And “it’s understandable that technology use could evoke and provoke comparable effects compared to these other factors,” added Haas, who was not involved with the new study. Notably, the new study’s results held up even when the researchers accounted for issues like socioeconomic status, overall health, and social support, which could also boost brain health. The findings are in line with a study Haas published last year, which found that older adults in Switzerland who had stronger memories were more likely to be regular Internet users. Meanwhile another analysis of about 463,000 people in the United Kingdom concluded that there is no “obvious association” between computer use and dementia, though more research is needed to disentangle the potential impact of too much screen time on brain health. These studies favour the idea that our digital lives could promote more complex thinking, skills, and social connections, net positives for brain health. The benefits, referred to as “technological reserve”, are often contrasted with the “digital dementia” theory, which argues that an over-reliance on technology decimates memory, attention, and problem-solving abilities, particularly among younger people. But in reality, “there’s both positive and negative sides to screen exposure,” Haas said, adding that moderation is key. When it comes to cognitive function, “it’s too little or too much that makes the difference here”."
34faac66-dfc3-458e-ae95-40689c6b49c3,https://www.euronews.com/my-europe/2025/04/15/frances-united-front-against-mercosur-deal-starts-to-show-cracks,15.04.2025 08:30 GMT+1,France’s united front against Mercosur deal starts to show cracks,"France's strong resistance to the Mercosur agreement is beginning to crack in response to concerns over potential restrictions on EU exports to the US. “Existing and future trade agreements between the EU and other economies (JEFTA [the free trade agreement with Japan], CETA [the free trade agreement with Canada], the free trade agreement Mercosur‑EU) could further cushion tariff shocks linked to US trade policy,” Bank of France’s Governor, François Villeroy de Galhau, said in his annual letter to French President Emmanuel Macron on 9 April. In December the European Commission concluded a political agreement with the Mercosur countries - Argentina, Brazil, Paraguay and Uruguay - to establish one of the world's biggest free trade zones, encompassing 750 million people and about one-fifth of the global economy. The agreement now needs approval from EU countries before it enters into force. France has long been opposed to the agreement. In particular, it denounced what it claimed would result in unfair competition for its farmers, calling for so-called “mirror clauses” to be introduced in the deal, so that agricultural imports coming from the Mercosur meet the same production standards existing for EU farmers. MEP Marie-Pierre Vedrenne (France/Renew), a prominent critic of the Mercosur agreement during the previous legislative term and former chair of the Trade Committee, has adopted a more measured tone recently. “I do hold a personal conviction: remaining opposed to this agreement on principle alone doesn’t seem reasonable to me,” she told Euronews. Officially, France maintains that it is mindful of the evolving global trade context, but its position on the Mercosur agreement remains unchanged. Paris continues to reject the deal. “The French position has not changed, but the context has and we take it into account,” a French diplomat told Euronews, “The context is now in favour of the Mercosur agreement, and the Latin American countries are also looking for opportunities as the US market is closing. This must lead us to be ambitious in terms of protecting the environment and our farmers.” This stance was echoed by another French official. The imminent arrival of Friedrich Merz as Germany Chancellor, and renewed EU impetus to diversify global trade partnerships in response to rising US protectionism, has intensified pressure on France and other member states opposing the EU-Mercosur agreement. “The Mercosur free trade agreement with the four South American countries must come into force quickly,” Merz told German media Handelsblatt on 13 April. Among the countries opposed to the deal, Ireland, keen to protect its farmers, said on 9 April through its Minister for Trade that it would maintain its opposition, and Austria remains opposed, while the Netherlands and Poland are critics of the deal. Italy remains in favour of the agreement, though it wants impact on agriculture to be taken into account in the final text. On Monday, a Commission spokesperson said that the EU executive was not planning to make any changes to the text. The document that the member states will have to approve will be sent to them before the end of the summer, the Commission added. In the meantime, uncertainty surrounding President Donald Trump’s ongoing tariff war leaves open the possibility that EU critics of the Mercosur deal may reconsider their stance."
b31cfd94-b0c0-4d5f-a757-26b37fe015c9,https://www.euronews.com/health/2025/04/15/eu-agency-flags-risks-to-nuclear-medicines-from-dependency-on-russia-and-us,15.04.2025 08:21 GMT+1,EU agency flags risks to nuclear medicines from dependency on Russia and US,"Increasing radiopharmaceutical production alone won’t secure Europe’s supply, unless the EU also addresses its dependency on raw materials from Russia and the US, and improves efficiency of cross-border transport, according to the EU’s top pharmaceutical authorities. As demand for radiopharmaceuticals grows steadily across Europe, the European Medicines Agency (EMA) and the Heads of Medicines Agencies (HMA) issued a joint set of recommendations on Monday urging the EU to strengthen its supply chain by targeting critical vulnerabilities beyond production. Radiopharmaceuticals are medicines containing radioactive isotopes and are essential in diagnosing and treating conditions such as tumours. An example is the use of iodine for imaging and treating thyroid cancer. While safe for medical use, their radioactive nature makes both production and transport uniquely complex and highly regulated. The EMA warns that the EU’s current supply chain is not only constrained by limited manufacturing capacity, but also hampered by fragmented transport regulations and a heavy reliance on third countries for key raw materials. A call to ensure the supply of medical radioisotopes was highlighted by EU-27 energy ministers last June. A major concern is the EU’s dependence on High-Assay Low-Enriched Uranium (HALEU), a specialised fuel used in reactors that produce medical isotopes. Currently, Russia is the only commercial supplier capable of delivering HALEU at scale through its state-owned company Tenex. The US, while not yet a major supplier, began producing HALEU domestically in October 2023 for the first time in more than 70 years. Additionally, French nuclear fuel company Orano is exploring the possibility of building a uranium enrichment facility in the US to reduce Washington’s reliance on Russian imports. To address these dependencies, the EMA recommends developing EU-based HALEU enrichment capabilities and investing in long-term solutions. The EU's agency also supports initiatives like the European Radioisotope Valley Initiative (ERVI), which aims to boost domestic production of medical radionuclides, and SAMIRA (Strategic Agenda for Medical Applications of Ionising Radiation), part of the EU’s Beating Cancer Plan. EU countries are encouraged to map their entire radiopharmaceutical supply chains, from raw material sourcing to final delivery, and explore national strategies aligned with a broader EU framework. The EMA’s recommendations come as the EU reassesses the strategic value of medical radioisotopes, recognising their importance not just for public health but also for geopolitical resilience and health sovereignty. While expanding production remains important, the EMA emphasises that addressing transport bottlenecks is equally critical. The agency points to regulatory inconsistencies between member states and outdated infrastructure as key barriers to efficient delivery. Transporting radiopharmaceuticals requires highly specialised containers, strict timing, and coordination across a patchwork of national regulations. All these factors can delay the delivery of time-sensitive, life-saving treatments. Among its proposed solutions, the EMA calls for EU-wide certification standards for transport containers and mutual recognition of certifications among member states. Without such harmonisation, delays and inefficiencies could intensify as demand continues to rise. One looming challenge is the EU’s move to ban lead in transport containers. Lead, commonly used to shield radioactive materials, poses significant environmental and health risks. While the EU has already banned lead shot in wetlands, broader restrictions are being considered, potentially affecting the radiopharmaceutical supply chain. However, the EMA stresses the Commission to consider the potential challenges and consequences for the sector in case of a ban of lead."
b78c6e7c-1413-40f9-a62c-3b3c82ad5219,https://www.euronews.com/business/2025/04/15/european-markets-set-to-open-higher-as-euro-holds-firm-against-dollar,15.04.2025 08:13 GMT+1,European markets open higher on hopes of Trump tariff exemptions,"US President Donald Trump has hinted at potential relief from auto tariffs to give car manufacturers “a little bit of time” to switch production back to America. His comments followed the decision to temporarily exempt electronic products from duties, marking a further step back from the sweeping trade tariffs announced earlier this month. “I’m looking for something to help some of the car companies, where they’re switching to parts that were made in Canada, Mexico and other places, and they need a little bit of time because they’re going to make them here,” he said at the Oval Office on Monday. The Trump administration imposed 25% tariffs on automobile imports on 3 April. Bloomberg previously reported that major carmakers, including Ford Motor, General Motors, and Chrysler parent Stellantis NV, were lobbying for exemptions on certain low-cost car components, as these could face additional taxes on top of the full 25% auto tariffs if sourced from outside the US. Meanwhile, the US Department of Commerce released a notice stating it had initiated investigations into the semiconductor and pharmaceutical trades. Both probes fall under Section 232 of the National Security Investigation framework, signalling the potential for further tariffs on the two sectors and adding to the uncertainty surrounding Trump’s tariff agenda. These investigation notices came after Trump stated that exemptions on electronic products would be temporary and emphasised that “NOBODY is getting ‘off the hook’ for the unfair Trade Balances” on Sunday. The semiconductor investigation document noted that it aims to “determine the effects on the national security of imports of semiconductors and semiconductor manufacturing equipment (SME), and their derivative products”. The pharmaceutical probe will examine imports of “finished drug products, medical countermeasures, critical inputs such as active pharmaceutical ingredients, and key starting materials, and derivative products of those items”. European markets opened slightly higher after Trump’s comments suggesting possible relief on auto tariffs. As of around 9.30am CEST, stocks were broadly positive, with Germany’s DAX up 0.9%, the UK’s FTSE 100 gaining 0.7%, and the STOXX 600 up 0.6%. The CAC 40 was down 3%. European automakers’ shares may benefit from the shift in US policy following a bruising sell-off over the past month. Notably, shares in Germany’s major car manufacturers—Volkswagen (VW), BMW, Porsche, and Mercedes-Benz—have each fallen between 15% and 18% during that period. On Tuesday morning, VW shares were up 3.7%, BMW showed a 3.8% jump, Porsche rose 2%, while shares in Mercedes-Benz leapt 3.8%. However, Europe’s technology and pharmaceutical stocks could face renewed pressure due to the US probes into the semiconductor and drug sectors. In particular, Danish pharmaceutical giant Novo Nordisk may face heightened scrutiny, as the US is its largest single market for its weight-loss drug. The firm suffered its worst monthly decline in March after a series of disappointing trial results. Investor concerns have also been stoked by Trump’s tariff threat on pharmaceutical products, which could erode profit margins. Among tech stocks, ASML—Europe’s largest chip equipment manufacturer—will be in the spotlight ahead of its earnings results on Wednesday. Shares in ASML rose 2.8% on Tuesday morning. In currencies, the euro held steady above 1.13 during Tuesday’s Asian session, hovering at its strongest level since 2022. The euro has been seen as a haven asset amid Trump’s tariff-driven trade shocks, which have triggered broader risk-off sentiment in global markets over the past month. The EUR/USD pair surged above 1.14 at one point on Monday and is likely to maintain its uptrend on continued economic uncertainty. The European Central Bank (ECB) is expected to deliver its third consecutive interest rate cut on Thursday, reinforcing the Eurozone’s accommodative stance amid ongoing risks. The euro rose very marginally against the dollar by less than 1% on Tuesday morning."
